País;DDI;ID;Formato
----;;---;
Brasil;+55;31;+55 (XX) XXXXX-XXXX
Afeganistao;+93;21;+93 XXXX XXX XXX
Africa do Sul;+27;8;+27 XX XXX XXXX
Albania;+355;8;+355 XX XXX XXXX
Alemanha;+49;26;+49 XXXX XXXXXX
Andorra;+376;15;+376 XXX XXX
Angola;+244;16;+244 XXX XXX XXX
Antigua e Barbuda;+1-268;28;+1-268 XXX-XXXX
Arabia Saudita;+966;21;+966 XXXX XXX XXX
Argelia;+213;4;+213 XX XX XX XX
Argentina;+54;34;+54 XX XXXX-XXXX
Armenia;+374;13;+374 XX XXXXXX
Australia;+61;21;+61 XXXX XXX XXX
Austria;+43;24;+43 XXXX XXXXXX
Azerbaijao;+994;6;+994 XX XXX XX XX
Bahamas;+1-242;28;+1-242 XXX-XXXX
Bahrain;+973;23;+973 XXXX XXXX
Bangladesh;+880;11;+880 XX XXXX XXXX
Barbados;+1-246;28;+1-246 XXX-XXXX
Belarus;+375;33;+375 XX XXX-XX-XX
Belgica;+32;6;+32 XX XXX XX XX
Belize;+501;28;+501 XXX-XXXX
Benin;+229;4;+229 XX XX XX XX
Bermudas;+1-441;28;+1-441 XXX-XXXX
Bolivia;+591;16;+591 XXX XXX XXX
Bosnia e Herzegovina;+387;7;+387 XX XXX XXX
Botswana;+267;8;+267 XX XXX XXXX
Brunei;+673;18;+673 XXX XXXX
Bulgaria;+359;7;+359 XX XXX XXX
Burkina Faso;+226;4;+226 XX XX XX XX
Burundi;+257;4;+257 XX XX XX XX
Butao;+975;4;+975 XX XX XX XX
Cabo Verde;+238;14;+238 XXX XX XX
Camaroes;+237;27;+237 XXXXX XXXX
Camboja;+855;7;+855 XX XXX XXX
Canada;+1;32;+1 (XXX) XXX-XXXX
Catar;+974;23;+974 XXXX XXXX
Cazaquistao;+7;35;+7 XXX XXX-XX-XX
Chade;+235;4;+235 XX XX XX XX
Chile;+56;11;+56 XX XXXX XXXX
China;+86;19;+86 XXX XXXX XXXX
Chipre;+357;13;+357 XX XXXXXX
Cidade do Vaticano;+39-06;18;+39-06 XXX XXXX
Colombia;+57;19;+57 XXX XXXX XXXX
Comores;+269;14;+269 XXX XX XX
Congo;+242;6;+242 XX XXX XX XX
Congo;+243;6;+243 XX XXX XX XX
Coreia do Norte;+850;8;+850 XX XXX XXXX
Coreia do Sul;+82;29;+82 XX-XXX-XXXX
Costa do Marfim;+225;4;+225 XX XX XX XX
Costa Rica;+506;23;+506 XXXX XXXX
Croacia;+385;7;+385 XX XXX XXX
Cuba;+53;16;+53 XXX XXX XXX
Dinamarca;+45;4;+45 XX XX XX XX
Djibouti;+253;4;+253 XX XX XX XX
Dominica;+1-767;28;+1-767 XXX-XXXX
Egito;+20;11;+20 XX XXXX XXXX
El Salvador;+503;23;+503 XXXX XXXX
Emirados Arabes Unidos;+971;23;+971 XXXX XXXX
Equador;+593;17;+593 XXX XXX XXXX
Eritreia;+291;8;+291 XX XXX XXXX
Eslovaquia;+421;16;+421 XXX XXX XXX
Eslovenia;+386;7;+386 XX XXX XXX
Espanha;+34;16;+34 XXX XXX XXX
Estados Unidos;+1;32;+1 (XXX) XXX-XXXX
Estonia;+372;23;+372 XXXX XXXX
Eswatini;+268;23;+268 XXXX XXXX
Etiopia;+251;8;+251 XX XXX XXXX
Fiji;+679;18;+679 XXX XXXX
Filipinas;+63;17;+63 XXX XXX XXXX
Finlandia;+358;10;+358 XX XXXX XXX
Franca;+33;1;+33 X XX XX XX XX
Gabao;+241;3;+241 XX XX XX
Gambia;+220;23;+220 XXXX XXXX
Gana;+233;8;+233 XX XXX XXXX
Georgia;+995;13;+995 XX XXXXXX
Granada;+1-473;28;+1-473 XXX-XXXX
Grecia;+30;8;+30 XX XXX XXXX
Guatemala;+502;23;+502 XXXX XXXX
Guiana;+592;18;+592 XXX XXXX
Guine;+224;3;+224 XX XX XX
Guine Equatorial;+240;16;+240 XXX XXX XXX
Guine-Bissau;+245;9;+245 XX XXXX
Haiti;+509;23;+509 XXXX XXXX
Honduras;+504;23;+504 XXXX XXXX
Hungria;+36;8;+36 XX XXX XXXX
Ieemen;+967;18;+967 XXX XXXX
Ilhas Marshall;+692;18;+692 XXX XXXX
Ilhas Salomao;+677;18;+677 XXX XXXX
India;+91;21;+91 XXXX XXX XXX
Indonesia;+62;11;+62 XX XXXX XXXX
Ira;+98;11;+98 XX XXXX XXXX
Iraque;+964;8;+964 XX XXX XXXX
Irlanda;+353;8;+353 XX XXX XXXX
Islandia;+354;18;+354 XXX XXXX
Israel;+972;29;+972 XX-XXX-XXXX
Italia;+39;17;+39 XXX XXX XXXX
Jamaica;+1-876;28;+1-876 XXX-XXXX
Japao;+81;29;+81 XX-XXX-XXXX
Jordania;+962;2;+962 X XXXX XXXX
Kiribati;+686;25;+686 XXXXX
Kuwait;+965;23;+965 XXXX XXXX
Laos;+856;8;+856 XX XXX XXXX
Lesoto;+266;12;+266 XX XXXXX
Letonia;+371;23;+371 XXXX XXXX
Libano;+961;7;+961 XX XXX XXX
Liberia;+231;8;+231 XX XXX XXXX
Libia;+218;8;+218 XX XXX XXXX
Liechtenstein;+423;18;+423 XXX XXXX
Lituania;+370;20;+370 XXX XXXXX
Luxemburgo;+352;15;+352 XXX XXX
Macedonia do Norte;+389;4;+389 XX XX XX XX
Madagascar;+261;5;+261 XX XX XXXXX
Malasia;+60;30;+60 XX-XXXX XXXX
Malawi;+265;8;+265 XX XXX XXXX
Maldivas;+960;18;+960 XXX XXXX
Mali;+223;4;+223 XX XX XX XX
Malta;+356;23;+356 XXXX XXXX
Marrocos;+212;4;+212 XX XX XX XX
Mauricia;+230;23;+230 XXXX XXXX
Mauritania;+222;4;+222 XX XX XX XX
Mexico;+52;22;+52 XXXX XXX XXXX
Micronesia;+691;18;+691 XXX XXXX
Mocambique;+258;8;+258 XX XXX XXXX
Moldavia;+373;16;+373 XXX XXX XXX
Monaco;+377;18;+377 XXX XXXX
Mongolia;+976;23;+976 XXXX XXXX
Montenegro;+382;7;+382 XX XXX XXX
Myanmar;+95;8;+95 XX XXX XXXX
Namibia;+264;17;+264 XXX XXX XXXX
Nauru;+674;18;+674 XXX XXXX
Nepal;+977;17;+977 XXX XXX XXXX
Nicaragua;+505;23;+505 XXXX XXXX
Niger;+227;4;+227 XX XX XX XX
Nigeria;+234;17;+234 XXX XXX XXXX
Niue;+683;25;+683 XXXXX
Noruega;+47;4;+47 XX XX XX XX
Nova Zelandia;+64;30;+64 XX-XXXX XXXX
Oma;+968;23;+968 XXXX XXXX
Paises Baixos;+31;8;+31 XX XXX XXXX
Palau;+680;18;+680 XXX XXXX
Panama;+507;23;+507 XXXX XXXX
Papua-Nova Guine;+675;18;+675 XXX XXXX
Paquistao;+92;22;+92 XXXX XXX XXXX
Paraguai;+595;8;+595 XX XXX XXXX
Peru;+51;8;+51 XX XXX XXXX
Polonia;+48;17;+48 XXX XXX XXXX
Portugal;+351;16;+351 XXX XXX XXX
Quenia;+254;17;+254 XXX XXX XXXX
Quirguistao;+996;16;+996 XXX XXX XXX
Reino Unido;+44;17;+44 XXX XXX XXXX
Republica Centro-Africana;+236;4;+236 XX XX XX XX
Republica Checa;+420;16;+420 XXX XXX XXX
Republica Dominicana;+1-809;28;+1-809 XXX-XXXX
Romenia;+40;17;+40 XXX XXX XXXX
Ruanda;+250;16;+250 XXX XXX XXX
Russia;+7;35;+7 XXX XXX-XX-XX
Samoa;+685;18;+685 XXX XXXX
San Marino;+378;18;+378 XXX XXXX
Santa Lucia;+1-758;28;+1-758 XXX-XXXX
Sao Cristovao e Nevis;+1-869;28;+1-869 XXX-XXXX
Sao Tome e Principe;+239;23;+239 XXXX XXXX
Sao Vicente e Granadinas;+1-784;28;+1-784 XXX-XXXX
Seicheles;+248;14;+248 XXX XX XX
Senegal;+221;23;+221 XXXX XXXX
Serra Leoa;+232;17;+232 XXX XXX XXXX
Servia;+381;8;+381 XX XXX XXXX
Singapura;+65;23;+65 XXXX XXXX
Siria;+963;11;+963 XX XXXX XXXX
Somalia;+252;17;+252 XXX XXX XXXX
Sri Lanka;+94;8;+94 XX XXX XXXX
Suazilandia;+268;23;+268 XXXX XXXX
Sudao;+249;17;+249 XXX XXX XXXX
Sudao do Sul;+211;17;+211 XXX XXX XXXX
Suécia;+46;10;+46 XX XXXX XXX
Suica;+41;6;+41 XX XXX XX XX
Suriname;+597;18;+597 XXX XXXX
Tailandia;+66;30;+66 XX-XXXX XXXX
Taiwan;+886;19;+886 XXX XXXX XXXX
Tajiquistao;+992;6;+992 XX XXX XX XX
Tanzania;+255;8;+255 XX XXX XXXX
Togo;+228;6;+228 XX XXX XX XX
Tonga;+676;25;+676 XXXXX
Trindade e Tobago;+1-868;28;+1-868 XXX-XXXX
Tunisia;+216;7;+216 XX XXX XXX
Turcomenistao;+993;7;+993 XX XXX XXX
Turquia;+90;17;+90 XXX XXX XXXX
Tuvalu;+688;25;+688 XXXXX
Ucrania;+380;6;+380 XX XXX XX XX
Uganda;+256;8;+256 XX XXX XXXX
Uruguai;+598;23;+598 XXXX XXXX
Uzbequistao;+998;16;+998 XXX XXX XXX
Vanuatu;+678;18;+678 XXX XXXX
Venezuela;+58;8;+58 XX XXX XXXX
Vietname;+84;17;+84 XXX XXX XXXX
Zambia;+260;17;+260 XXX XXX XXXX
Zimbabwe;+263;18;+263 XXX XXXX
